TYPE,WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,MARINE,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO3,ISO3,SUPP_INFO,CONS_OBJ
Polygon,7633,7633,1,Loitokitok,Loitokitok,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,7.66,6.867086774,Not Applicable,0,Designated,1977,Federal or national ministry or agency,State,Kenya Forest Service,Not Reported,State Verified,178,Not Reported,KEN,KEN,Not Applicable,Not Applicable
Polygon,7644,7644,1,Marenji,Marenji,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,15.19,15.12119711,Not Applicable,0,Designated,1967,Federal or national ministry or agency,State,Kenya Forest Service,Not Reported,State Verified,178,Not Reported,KEN,KEN,Not Applicable,Not Applicable
Polygon,7561,7561,1,Gonja,Gonja,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,8.417,8.575578877,Not Applicable,0,Designated,1961,Federal or national ministry or agency,State,Kenya Forest Service,Not Reported,State Verified,178,Not Reported,KEN,KEN,Not Applicable,Not Applicable
Polygon,7646,7646,1,Marop,Marop,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,2.11,2.104831765,Not Applicable,0,Designated,1949,Federal or national ministry or agency,State,Kenya Forest Service,Not Reported,State Verified,178,KE-700,KEN,KEN,Not Applicable,Not Applicable
Polygon,7695,7695,1,Ntugi,Ntugi,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,13.86,13.79480252,Not Applicable,0,Designated,1959,Federal or national ministry or agency,State,Kenya Forest Service,Not Reported,State Verified,178,KE-400,KEN,KEN,Not Applicable,Not Applicable
Polygon,7672,7672,1,Mutejwa,Mutejwa,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,13.18,13.12330039,Not Applicable,0,Designated,1959,Federal or national ministry or agency,State,Kenya Forest Service,Not Reported,State Verified,178,Not Reported,KEN,KEN,Not Applicable,Not Applicable
Polygon,7690,7690,1,Njuguni,Njuguni,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,19.87,19.77847554,Not Applicable,0,Designated,1959,Federal or national ministry or agency,State,Kenya Forest Service,Not Reported,State Verified,178,Not Reported,KEN,KEN,Not Applicable,Not Applicable
Polygon,33435,33435,1,Aberdares,Aberdares,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,1030.25,1028.587111,Not Applicable,0,Designated,1943,Federal or national ministry or agency,State,Kenya Forest Service,Not Reported,State Verified,178,Not Reported,KEN,KEN,Not Applicable,Not Applicable
Polygon,7597,7597,1,Kierera,Kierera,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,7.932,7.740387096,Not Applicable,0,Designated,1959,Federal or national ministry or agency,State,Kenya Forest Service,Not Reported,State Verified,178,Not Reported,KEN,KEN,Not Applicable,Not Applicable
Polygon,7699,7699,1,Nyeri,Nyeri,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,12.14,12.08329778,Not Applicable,0,Designated,1932,Federal or national ministry or agency,State,Kenya Forest Service,Not Reported,State Verified,178,Not Reported,KEN,KEN,Not Applicable,Not Applicable
Polygon,7613,7613,1,Kipipiri,Kipipiri,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,50.19,50.54608471,Not Applicable,0,Designated,1956,Federal or national ministry or agency,State,Kenya Forest Service,Not Reported,State Verified,178,Not Reported,KEN,KEN,Not Applicable,Not Applicable
Polygon,7754,7754,1,Gembe Hills,Gembe Hills,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,27.55,27.04452543,Not Applicable,0,Designated,2017,Federal or national ministry or agency,State,Kenya Forest Service,Not Reported,State Verified,178,KE-600,KEN,KEN,Not Applicable,Not Applicable
Polygon,7753,7753,1,Gaikuyu,Gaikuyu,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,30.76,32.43726348,Not Applicable,0,Designated,1993,Federal or national ministry or agency,State,Kenya Forest Service,Not Reported,State Verified,178,KE-400,KEN,KEN,Not Applicable,Not Applicable
Polygon,7736,7736,1,Uaso Narok,Uaso Narok,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,19.66,19.87292847,Not Applicable,0,Designated,1960,Federal or national ministry or agency,State,Kenya Forest Service,Not Reported,State Verified,178,Not Reported,KEN,KEN,Not Applicable,Not Applicable
Polygon,7596,7596,1,Kieiga,Kieiga,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,5.463,5.707335773,Not Applicable,0,Designated,1959,Federal or national ministry or agency,State,Kenya Forest Service,Not Reported,State Verified,178,Not Reported,KEN,KEN,Not Applicable,Not Applicable
Polygon,7649,7649,1,Mathews Range,Mathews Range,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,973.92,969.624867,Not Applicable,0,Designated,1956,Federal or national ministry or agency,State,Kenya Forest Service,Not Reported,State Verified,178,Not Reported,KEN,KEN,Not Applicable,Not Applicable
